run_name,model,contrastive,gradient,window,lr,seed,acc1,acc5,stage
SEL_grad0_w100-cnn-c1-g0-w100-bs32-lr0.0003-seed42-20260529-110530-2283b0,cnn,1,0,100,0.0003,42,27.306967973709103,69.30320262908936,eval_contrastive
SEL_grad0_w100-cnn-c1-g0-w100-bs32-lr0.001-seed42-20260529-111653-175a29,cnn,1,0,100,0.001,42,30.320149660110477,72.1280574798584,eval_contrastive
SEL_grad0_w100-cnn-c1-g0-w100-bs32-lr0.003-seed42-20260529-112822-091d9b,cnn,1,0,100,0.003,42,30.320149660110477,65.91336727142334,eval_contrastive
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed42-20260529-110637-da8435,cnn,1,25,100,0.0003,42,49.60159659385681,83.0677330493927,eval_contrastive
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20260529-111758-584e52,cnn,1,25,100,0.001,42,47.41035997867584,80.4780900478363,eval_contrastive
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.003-seed42-20260529-112928-aaf132,cnn,1,25,100,0.003,42,44.22310888767242,78.8844645023346,eval_contrastive
SEL_grad0_w100-lstm-c1-g0-w100-bs32-lr0.0003-seed42-20260529-110759-2bd19b,lstm,1,0,100,0.0003,42,28.248587250709534,57.81543850898743,eval_contrastive
SEL_grad0_w100-lstm-c1-g0-w100-bs32-lr0.001-seed42-20260529-111922-e62dad,lstm,1,0,100,0.001,42,26.74199640750885,60.64029932022095,eval_contrastive
SEL_grad0_w100-lstm-c1-g0-w100-bs32-lr0.003-seed42-20260529-113051-7094b0,lstm,1,0,100,0.003,42,31.450092792510983,66.29001498222351,eval_contrastive
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed42-20260529-110934-c0ad45,lstm,1,25,100,0.0003,42,53.78485918045044,84.26294922828674,eval_contrastive
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20260529-112058-52b71f,lstm,1,25,100,0.001,42,51.992034912109375,83.26693773269653,eval_contrastive
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed42-20260529-113227-090bbf,lstm,1,25,100,0.003,42,56.57370686531067,86.6533875465393,eval_contrastive
SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.0003-seed42-20260529-110332-ea5f0b,mlp,1,0,100,0.0003,42,27.495291829109192,58.19209218025208,eval_contrastive
SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.001-seed42-20260529-111456-91abb6,mlp,1,0,100,0.001,42,24.67043250799179,55.93219995498657,eval_contrastive
SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.003-seed42-20260529-112623-0c876b,mlp,1,0,100,0.003,42,24.482108652591705,57.81543850898743,eval_contrastive
SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed42-20260529-110427-a0c178,mlp,1,25,100,0.0003,42,25.29880404472351,53.98406386375427,eval_contrastive
SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed42-20260529-111550-ab2c4e,mlp,1,25,100,0.001,42,22.709164023399357,51.39442682266235,eval_contrastive
SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.003-seed42-20260529-112718-a1afc0,mlp,1,25,100,0.003,42,21.9123512506485,50.99601745605469,eval_contrastive
SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed42-20260529-111123-b9cede,transformer,1,0,100,0.0003,42,39.359697699546814,72.88135290145874,eval_contrastive
SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.001-seed42-20260529-112249-f88fe4,transformer,1,0,100,0.001,42,38.041430711746216,75.70621371269226,eval_contrastive
SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.003-seed42-20260529-113417-732ed2,transformer,1,0,100,0.003,42,35.96986830234528,66.66666269302368,eval_contrastive
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20260529-111328-a36c7a,transformer,1,25,100,0.0003,42,59.163349866867065,86.05577945709229,eval_contrastive
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.001-seed42-20260529-112453-ba3e97,transformer,1,25,100,0.001,42,57.17131495475769,85.25896668434143,eval_contrastive
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.003-seed42-20260529-113622-b5288e,transformer,1,25,100,0.003,42,49.800798296928406,83.66534113883972,eval_contrastive
